特征,重要性
现金比率,0.06310627986008277
管理费用率,0.061125632900676616
应收账款周转率A,0.05919100076882328
固定资产比率,0.05633354736979359
财务费用率,0.05480887558852483
无形资产比率,0.05246475703552984
速动比率,0.051226723481879594
净利润增长率A,0.050804964867310336
存货周转率A,0.05034806281944252
异常经营活动现金流量,0.049793761328557784
营业毛利率,0.04848729105788442
流动比率,0.04841604705524786
总资产增长率A,0.04623908171797271
总资产周转率A,0.04594430941852524
净资产收益率（ROE）A,0.04584548423536243
营业收入增长率A,0.04517527360501255
总资产净利润率(ROA)A,0.04471593390161156
营业净利率,0.04353989595766744
资产负债率,0.042019103864732156
权益乘数,0.04041397316536246
